country,platform,url,kyc_required,description
Burundi,MySatoshis,https://exchanger.mysatoshis.bi/,No,Exchange Bitcoin to Lumicash
DR Congo,SGX Remit,https://www.sgxremit.com/,Yes,Send Bitcoin to mobile money
Ghana,BitSpenda,https://www.bitspenda.app/,No,Send Bitcoin directly to mobile money
Ghana,Cashwyre,https://cashwyre.com/,Yes,Convert Bitcoin to local currency via bank transfer or mobile money
Ghana,SGX Remit,https://www.sgxremit.com/,Yes,Send Bitcoin to mobile money
Ghana,Mavapay,https://app.mavapay.money/,Yes,Convert Bitcoin to Ghanaian Cedis and mobile money
Kenya,Tando,https://tando.me/,No,Connect Bitcoin and Lightning wallets directly to M-Pesa
Kenya,BitSpenda,https://www.bitspenda.app/,No,Send Bitcoin directly to mobile money
Kenya,Mavapay,https://app.mavapay.money/,Yes,Convert Bitcoin to Kenyan Shillings via M-Pesa or mobile money
Kenya,Blitz Wallet,https://blitz-wallet.com/,No,Send Bitcoin directly to M-Pesa mobile money accounts
Kenya,SGX Remit,https://www.sgxremit.com/,Yes,Send Bitcoin to mobile money
Malawi,SGX Remit,https://www.sgxremit.com/,Yes,Send Bitcoin to mobile money
Nigeria,Tapnob,https://www.tapnob.com/,No (small amounts),Send Bitcoin and receive Naira in a bank account
Nigeria,BitSpenda,https://www.bitspenda.app/,No,Send Bitcoin directly to mobile money
Nigeria,Cashwyre,https://cashwyre.com/,Yes,Convert Bitcoin to local currency via bank transfer or mobile money
Nigeria,Mavapay,https://app.mavapay.money/,Yes,Convert Bitcoin to Naira and bank accounts
Nigeria,SGX Remit,https://www.sgxremit.com/,Yes,Send Bitcoin to mobile money
Rwanda,Cashwyre,https://cashwyre.com/,Yes,Convert Bitcoin to local currency via bank transfer or mobile money
Benin,Bitcoin Flash,https://flashapp.me/,No (email and phone required),Send Bitcoin to CFA Francs via mobile money including MTN MoMo and Celtiis
Burkina Faso,Bitcoin Flash,https://flashapp.me/,No (email and phone required),Send Bitcoin to CFA Francs via mobile money including Orange Money and Moov Africa
Côte d'Ivoire,Bitcoin Flash,https://flashapp.me/,No (email and phone required),Send Bitcoin to CFA Francs via mobile money including Orange Money MTN and Moov Africa
Togo,Bitcoin Flash,https://flashapp.me/,No (email and phone required),Send Bitcoin to CFA Francs via mobile money including Orange Money and Moov Africa
"Senegal, Côte d'Ivoire, Cameroon, Guinea",Banxaas,https://banxaas.com/,No,Privacy-focused Bitcoin to mobile money conversion across Francophone West Africa with no account registration
South Africa,MoneyBadger,https://moneybadger.co.za/,No,Spend Bitcoin at merchants and retailers
South Africa,Swoop,https://myswoop.co.za/btc-to-zar/,Yes,Convert Bitcoin to Rand and pay bank accounts
South Africa,Lightning Watts,https://watts.cryptoconvert.co.za/#/,No,Pay electricity bills using Bitcoin over Lightning
South Africa,Mavapay,https://app.mavapay.money/,Yes,Convert Bitcoin to Rand and South African bank accounts
Tanzania,ChapSmart,https://chapsmart.com/,No,Bitcoin remittances and bill payments
Uganda,SGX Remit,https://www.sgxremit.com/,Yes,Send Bitcoin to mobile money
Zambia,BitZed,https://bitzed.xyz/,No,Convert Bitcoin to Zambian Kwacha via mobile money
Zambia,Bit2Kwacha,https://bit2kwacha.info/,No,Convert Bitcoin to Zambian Kwacha via mobile money
Zambia,Blitz Wallet,https://blitz-wallet.com/,No,Send Bitcoin directly to mobile money accounts
Zimbabwe,SGX Remit,https://www.sgxremit.com/,Yes,Send Bitcoin to mobile money
Global,Bitrefill,https://www.bitrefill.com/,Varies,Buy airtime data and gift cards with Bitcoin
Global,Sats2Data,https://sats2data.com/,No,Convert Bitcoin to mobile data
Global,2Fiat,https://2fiat.com/,Yes,Virtual prepaid Mastercard funded by Bitcoin
